index,account,company_name,company_address,company_ph,company_primary_domain,company_revenue,operating_income,net_income,net_income_trend,total_assets,retained_earnings,employees_list
68,AMERICAN EXPRESS SERVICES EUROPE LIMITED,American Express Company,"['200 Vesey St Fl 50', 'NEW YORK, NY', '10285-1000', 'United States']",['+1.212.6402000'],https://www.americanexpress.com,"['37,030.00']","['4,296.00']","3,135.00","['3,135.00', '6,759.00', '6,921.00']","191,367.00","13,837.00","{0: {'first_name': ['Stephen'], 'middle_name': ['J.'], 'last_name': ['Squeri'], 'designation': 'Chairman of the Board, Chief Executive Officer'}, 1: {'first_name': ['Jeffrey'], 'middle_name': ['C.'], 'last_name': ['Campbell'], 'designation': 'Chief Financial Officer'}, 2: {'first_name': ['Douglas'], 'middle_name': ['E.'], 'last_name': ['Buckminster'], 'designation': 'Group President, Global Consumer Services Group'}, 3: {'first_name': ['Anna'], 'middle_name': ['E.'], 'last_name': ['Marrs'], 'designation': 'President - Global Commercial Services'}, 4: {'first_name': ['Denise'], 'middle_name': [], 'last_name': ['Pickett'], 'designation': 'President, Global Services Group'}, 5: {'first_name': ['Anre'], 'middle_name': ['D.'], 'last_name': ['Williams'], 'designation': 'Group President - Enterprise Services'}, 6: {'first_name': ['Richard'], 'middle_name': [], 'last_name': ['Petrino'], 'designation': 'Chief Operating Officer of American Express National Bank'}, 7: {'first_name': ['Marc'], 'middle_name': ['D.'], 'last_name': ['Gordon'], 'designation': 'Executive Vice President, Chief Information Officer'}, 8: {'first_name': ['Elizabeth'], 'middle_name': [], 'last_name': ['Rutledge'], 'designation': 'Chief Marketing Officer'}, 9: {'first_name': ['Raymond'], 'middle_name': [], 'last_name': ['Joabar'], 'designation': 'Chief Risk Officer and President, Global Risk, Banking & Compliance'}, 10: {'first_name': ['Monique'], 'middle_name': ['R.'], 'last_name': ['Herena'], 'designation': 'Chief Colleague Experience Officer'}, 11: {'first_name': ['Jennifer'], 'middle_name': [], 'last_name': ['Skyler'], 'designation': 'Chief Corporate Affairs Officer'}, 12: {'first_name': ['Laureen'], 'middle_name': ['E.'], 'last_name': ['Seeger'], 'designation': 'Chief Legal Officer and Corporate Secretary'}, 13: {'first_name': ['Ronald'], 'middle_name': ['A.'], 'last_name': ['Williams'], 'designation': 'Lead Independent Director'}, 14: {'first_name': ['Thomas'], 'middle_name': ['J.'], 'last_name': ['Baltimore'], 'designation': 'Independent Director'}, 15: {'first_name': ['Charlene'], 'middle_name': [], 'last_name': ['Barshefsky'], 'designation': 'Independent Director'}, 16: {'first_name': ['John'], 'middle_name': ['J.'], 'last_name': ['Brennan'], 'designation': 'Independent Director'}, 17: {'first_name': ['Peter'], 'middle_name': [], 'last_name': ['Chernin'], 'designation': 'Independent Director'}, 18: {'first_name': ['Ralph'], 'middle_name': ['de', 'La'], 'last_name': ['Vega'], 'designation': 'Independent Director'}, 19: {'first_name': ['Michael'], 'middle_name': ['O.'], 'last_name': ['Leavitt'], 'designation': 'Independent Director'}, 20: {'first_name': ['Theodore'], 'middle_name': ['John'], 'last_name': ['Leonsis'], 'designation': 'Independent Director'}, 21: {'first_name': ['Karen'], 'middle_name': ['L.'], 'last_name': ['Parkhill'], 'designation': 'Independent Director'}, 22: {'first_name': ['Charles'], 'middle_name': ['E.'], 'last_name': ['Phillips'], 'designation': 'Independent Director'}, 23: {'first_name': ['Lynn'], 'middle_name': ['Ann'], 'last_name': ['Pike'], 'designation': 'Independent Director'}, 24: {'first_name': ['Daniel'], 'middle_name': ['L.'], 'last_name': ['Vasella'], 'designation': 'Independent Director'}, 25: {'first_name': ['Lisa'], 'middle_name': ['W.'], 'last_name': ['Wardell'], 'designation': 'Independent Director'}, 26: {'first_name': ['Christopher'], 'middle_name': ['D.'], 'last_name': ['Young'], 'designation': 'Independent Director'}}"
69,CENTRICA PLC,Centrica plc,"['Millstream, Maidenhead Road', 'SL4 5GD', 'United Kingdom']",['+44.1753.494000'],https://www.centrica.com/,"['14,949.00']",['(362.00)'],41.00,"['41.00', '(1,023.00)', '183.00']","17,119.00",(230.00),"{0: {'first_name': ['Scott'], 'middle_name': [], 'last_name': ['Wheway'], 'designation': 'Chairman of the Board'}, 1: {'first_name': ['Chris'], 'middle_name': [""O'""], 'last_name': ['Shea'], 'designation': 'Group Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Kate'], 'middle_name': [], 'last_name': ['Ringrose'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Raj'], 'middle_name': [], 'last_name': ['Roy'], 'designation': 'Interim Group General Counsel and Company Secretary'}, 4: {'first_name': ['Carol'], 'middle_name': [], 'last_name': ['Arrowsmith'], 'designation': 'Non-Executive Director'}, 5: {'first_name': ['Stephen'], 'middle_name': ['A.', 'M.'], 'last_name': ['Hester'], 'designation': 'Senior Non-Executive Independent Director'}, 6: {'first_name': ['Pam'], 'middle_name': [], 'last_name': ['Kaur'], 'designation': 'Non-Executive Independent Director'}, 7: {'first_name': ['Heidi'], 'middle_name': [], 'last_name': ['Mottram'], 'designation': 'Non-Executive Independent Director'}, 8: {'first_name': ['Kevin'], 'middle_name': [], 'last_name': [""O'Byrne""], 'designation': 'Non-Executive Independent Director'}}"
70,ARUP GROUP LIMITED,Arup Group Limited,,,,,,,,,,
71,FUJITSU SERVICES LIMITED,Fujitsu Limited,"['Shiodome City Center', '1-5-2, Higashi-Shimbashi', 'MINATO-KU, TKY', '105-7123', 'Japan']",['+81.3.62522220'],http://www.fujitsu.com/jp/,"['3,589,702.00']","['266,324.00']","202,700.00","['202,700.00', '160,042.00', '104,562.00']","3,190,206.00","909,139.00","{0: {'first_name': ['Takahito'], 'middle_name': [], 'last_name': ['Tokita'], 'designation': 'President, Chief Executive Officer, Chief DX Officer, Representative Director'}, 1: {'first_name': ['Naoyoshi'], 'middle_name': [], 'last_name': ['Takatsuna'], 'designation': 'Vice Chairman of the Executive Board'}, 2: {'first_name': ['Takeshi'], 'middle_name': [], 'last_name': ['Isobe'], 'designation': 'Chief Financial Officer, Senior Managing Executive Officer, Chief Director of Finance & Accounting, Director'}, 3: {'first_name': ['Hidenori'], 'middle_name': [], 'last_name': ['Furuta'], 'designation': 'Vice President, Chief Technology Officer, Manager of Global Solution, Representative Director'}, 4: {'first_name': ['Hideki'], 'middle_name': [], 'last_name': ['Kiwaki'], 'designation': 'Senior Managing Executive Officer'}, 5: {'first_name': ['Masaki'], 'middle_name': [], 'last_name': ['Kubota'], 'designation': 'Senior Managing Executive Officer, Manager of Japan Region'}, 6: {'first_name': ['Ryuji'], 'middle_name': [], 'last_name': ['Kushida'], 'designation': 'Senior Managing Executive Officer, Manager of System Platform Business'}, 7: {'first_name': ['Hiroki'], 'middle_name': [], 'last_name': ['Hiramatsu'], 'designation': 'Managing Executive Officer, Chief Director of Human Resources & General Affairs'}, 8: {'first_name': ['Yuzuru'], 'middle_name': [], 'last_name': ['Fukuda'], 'designation': 'Managing Executive Officer'}, 9: {'first_name': ['Tsuneo'], 'middle_name': [], 'last_name': ['Hayashi'], 'designation': 'Managing Executive Officer, Manager of Public & Social Infrastructure Business Group, Assistant Manager of Japan Region'}, 10: {'first_name': ['Takeshi'], 'middle_name': [], 'last_name': ['Horie'], 'designation': 'Managing Executive Officer, Assistant Manager of System Platform Business'}, 11: {'first_name': ['Kyoko'], 'middle_name': [], 'last_name': ['Mizuguchi'], 'designation': 'Managing Executive Officer,'}, 12: {'first_name': ['Shingo'], 'middle_name': [], 'last_name': ['Mizuno'], 'designation': 'Managing Executive Officer, Assistant Manager of System Platform Business'}, 13: {'first_name': ['Izumi'], 'middle_name': [], 'last_name': ['Nagahori'], 'designation': 'Managing Executive Officer, Manager of Digital Software & Solutions Business Group in Technology Solution Unit'}, 14: {'first_name': ['Katsumi'], 'middle_name': [], 'last_name': ['Nakano'], 'designation': 'Managing Executive Officer'}, 15: {'first_name': ['Jo'], 'middle_name': [], 'last_name': ['Oda'], 'designation': 'Managing Executive Officer, Assistant Manager of Japan Solution'}, 16: {'first_name': ['Junichi'], 'middle_name': ['E.'], 'last_name': ['Saito'], 'designation': 'Managing Executive Officer, Manager of Overseas Region & Americas Region'}, 17: {'first_name': ['Megumi'], 'middle_name': [], 'last_name': ['Shimazu'], 'designation': 'Managing Executive Officer, Manager of Digital Infrastructure Service Business Group in Global Solution Unit'}, 18: {'first_name': ['Takayuki'], 'middle_name': [], 'last_name': ['Sunada'], 'designation': 'Managing Executive Officer'}, 19: {'first_name': ['Hirohisa'], 'middle_name': [], 'last_name': ['Yamaguchi'], 'designation': 'Managing Executive Officer, Manager of Finance & Retail Solutions Business Group in Global Solution Unit'}, 20: {'first_name': ['Isamu'], 'middle_name': [], 'last_name': ['Yamamori'], 'designation': 'Managing Executive Officer, Manager of Public Relations & IR Office'}, 21: {'first_name': ['Kazuo'], 'middle_name': [], 'last_name': ['Yuasa'], 'designation': 'Managing Executive Officer, Assistant Manager of Overseas Region'}, 22: {'first_name': ['Masami'], 'middle_name': [], 'last_name': ['Yamamoto'], 'designation': 'Director'}, 23: {'first_name': ['Atsushi'], 'middle_name': [], 'last_name': ['Abe'], 'designation': 'Independent Director'}, 24: {'first_name': ['Scott'], 'middle_name': [], 'last_name': ['Callon'], 'designation': 'Independent Director'}, 25: {'first_name': ['Yoshiko'], 'middle_name': [], 'last_name': ['Kojo'], 'designation': 'Independent Director'}, 26: {'first_name': ['Chiaki'], 'middle_name': [], 'last_name': ['Mukai'], 'designation': 'Independent Director'}, 27: {'first_name': ['Jun'], 'middle_name': [], 'last_name': ['Yokota'], 'designation': 'Independent Director'}}"
72,OCADO GROUP PLC,Ocado Group plc,"['1 Trident Place', 'Hatfield Business Park, Mosquito Way', 'AL10 9BW', 'United Kingdom']",['+44.1707.227800'],http://www.ocadogroup.com,"['2,331.80']",['8.80'],(126.00),"['(126.00)', '(213.10)', '(44.90)']","4,028.20",502.40,"{0: {'first_name': ['Stuart'], 'middle_name': ['Alan'], 'last_name': ['Rose'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Timothy'], 'middle_name': [], 'last_name': ['Steiner'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Mark'], 'middle_name': [], 'last_name': ['Richardson'], 'designation': 'Chief Operating Officer, Executive Director'}, 3: {'first_name': ['Neill'], 'middle_name': [], 'last_name': ['Abrams'], 'designation': 'Group General Counsel, Executive Director, Company Secretary'}, 4: {'first_name': ['Luke'], 'middle_name': ['Giles', 'William'], 'last_name': ['Jensen'], 'designation': 'Executive Director, Chief Executive Officer - Ocado Solutions'}, 5: {'first_name': ['Andrew'], 'middle_name': ['John'], 'last_name': ['Harrison'], 'designation': 'Senior Non-Executive Independent Director'}, 6: {'first_name': ['Richard'], 'middle_name': ['N.'], 'last_name': ['Haythornthwaite'], 'designation': 'Independent Non-Executive Director'}, 7: {'first_name': ['Emma'], 'middle_name': [], 'last_name': ['Lloyd'], 'designation': 'Non-Executive Independent Director'}, 8: {'first_name': ['John'], 'middle_name': ['W.'], 'last_name': ['Martin'], 'designation': 'Non-Executive Independent Director'}, 9: {'first_name': ['Jorn'], 'middle_name': [], 'last_name': ['Rausing'], 'designation': 'Non-Executive Independent Director'}, 10: {'first_name': ['Michael'], 'middle_name': [], 'last_name': ['Sherman'], 'designation': 'Independent Non-Executive Director'}, 11: {'first_name': ['Julie'], 'middle_name': [], 'last_name': ['Southern'], 'designation': 'Non-Executive Independent Director'}}"
73,EXPERIAN LIMITED,Experian plc,"['Newenham House', 'Northern Cross, Malahide Road', 'D17 AY61', 'Ireland']",['+353.1.8469100'],https://www.experianplc.com/,"['5,372.00']","['1,183.00']",802.00,"['802.00', '675.00', '695.00']","10,071.00","1,229.00","{0: {'first_name': ['Mike'], 'middle_name': [], 'last_name': ['Rogers'], 'designation': 'Independent Non-Executive Chairman of the Board'}, 1: {'first_name': ['Brian'], 'middle_name': [], 'last_name': ['Cassin'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['George'], 'middle_name': ['W.'], 'last_name': ['Rose'], 'designation': 'Deputy Chairman of the Board, Senior Independent Non-Executive Director'}, 3: {'first_name': ['Lloyd'], 'middle_name': [], 'last_name': ['Pitchford'], 'designation': 'Chief Financial Officer, Executive Director'}, 4: {'first_name': ['Kerry'], 'middle_name': [], 'last_name': ['Williams'], 'designation': 'Chief Operating Officer, Executive Director'}, 5: {'first_name': ['Charles'], 'middle_name': [], 'last_name': ['Brown'], 'designation': 'Company Secretary'}, 6: {'first_name': ['Ruba'], 'middle_name': [], 'last_name': ['Borno'], 'designation': 'Non-Executive Independent Director'}, 7: {'first_name': ['Alison'], 'middle_name': [], 'last_name': ['Brittain'], 'designation': 'Non-Executive Independent Director'}, 8: {'first_name': ['Caroline'], 'middle_name': ['F.'], 'last_name': ['Donahue'], 'designation': 'Non-Executive Independent Director'}, 9: {'first_name': ['Luiz'], 'middle_name': ['Fernando', 'Vendramini'], 'last_name': ['Fleury'], 'designation': 'Non-Executive Independent Director'}, 10: {'first_name': ['Jonathan'], 'middle_name': [], 'last_name': ['Howell'], 'designation': 'Non-Executive Independent Director'}, 11: {'first_name': ['Deirdre'], 'middle_name': ['A.'], 'last_name': ['Mahlan'], 'designation': 'Non-Executive Independent Director'}}"
74,SAVILLS (UK) LIMITED,Savills plc,"['33 Margaret Street', 'W1G 0JD', 'United Kingdom']",['+44.20.74998644'],http://www.savills.com/,"['1,740.50']",['85.80'],67.60,"['67.60', '82.90', '76.70']","1,747.30",465.10,"{0: {'first_name': ['Nicholas'], 'middle_name': ['E.H.'], 'last_name': ['Ferguson'], 'designation': 'Non-Executive Independent Chairman of the Board'}, 1: {'first_name': ['Mark'], 'middle_name': [], 'last_name': ['Ridley'], 'designation': 'Group Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Simon'], 'middle_name': ['James', 'Blouet'], 'last_name': ['Shaw'], 'designation': 'Group Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Alex'], 'middle_name': [], 'last_name': ['Jeffrey'], 'designation': 'Chief Executive Officer – Savills Investment Management'}, 4: {'first_name': ['Raymond'], 'middle_name': [], 'last_name': ['Lee'], 'designation': 'Chief Executive - Hong Kong, Macau and Greater China'}, 5: {'first_name': ['Christian'], 'middle_name': [], 'last_name': ['Mancini'], 'designation': 'Chief Executive Officer - Asia Pacific (ex Greater China)'}, 6: {'first_name': ['Mitchell'], 'middle_name': ['E.'], 'last_name': ['Rudin'], 'designation': 'Chairman and CEO - Savills North America'}, 7: {'first_name': ['James'], 'middle_name': [], 'last_name': ['Sparrow'], 'designation': 'Chief Executive Officer of UK and EMEA'}, 8: {'first_name': ['Simon'], 'middle_name': [], 'last_name': ['Hope'], 'designation': 'Global Head - Capital Markets'}, 9: {'first_name': ['Christopher'], 'middle_name': [], 'last_name': ['Lee'], 'designation': 'Group Legal Director, Company Secretary'}, 10: {'first_name': ['Stacey'], 'middle_name': [], 'last_name': ['Cartwright'], 'designation': 'Senior Non-Executive Independent Director'}, 11: {'first_name': ['Timothy'], 'middle_name': ['George'], 'last_name': ['Freshwater'], 'designation': 'Non-Executive Independent Director'}, 12: {'first_name': ['Philip'], 'middle_name': [], 'last_name': ['Lee'], 'designation': 'Non-Executive Independent Director'}, 13: {'first_name': ['Richard'], 'middle_name': [], 'last_name': ['Orders'], 'designation': 'Non-Executive Independent Director'}, 14: {'first_name': ['Rupert'], 'middle_name': ['Hugo', 'Wynne'], 'last_name': ['Robson'], 'designation': 'Non-Executive Independent Director'}, 15: {'first_name': ['Dana'], 'middle_name': [], 'last_name': ['Roffman'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Florence'], 'middle_name': [], 'last_name': ['Tondu-Melique'], 'designation': 'Non-Executive Independent Director'}}"
75,BABCOCK INTERNATIONAL GROUP PLC,Babcock International Group plc,"['33 Wigmore Street', 'W1U 1QX', 'United Kingdom']",['+44.20.73555300'],https://www.babcockinternational.com/,"['4,449.50']",['(106.30)'],(195.20),"['(195.20)', '199.40', '336.30']","7,530.70","1,510.20","{0: {'first_name': ['Ruth'], 'middle_name': [], 'last_name': ['Cairnie'], 'designation': 'Non-Executive Independent Chairman of the Board'}, 1: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Lockwood'], 'designation': 'Chief Executive Officer, Director'}, 2: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Mellors'], 'designation': 'Chief Financial Officer'}, 3: {'first_name': ['Simon'], 'middle_name': [], 'last_name': ['Bowen'], 'designation': 'Chief Executive - Nuclear'}, 4: {'first_name': ['John'], 'middle_name': [], 'last_name': ['Davies'], 'designation': 'Chief Executive - Land'}, 5: {'first_name': ['Will'], 'middle_name': [], 'last_name': ['Erith'], 'designation': 'Chief Executive Officer of - Marine sector'}, 6: {'first_name': ['Neal'], 'middle_name': [], 'last_name': ['Misell'], 'designation': 'Chief Executive - Aviation'}, 7: {'first_name': ['Jon'], 'middle_name': [], 'last_name': ['Hall'], 'designation': 'Chief Innovation and Technology Officer'}, 8: {'first_name': ['Jack'], 'middle_name': [], 'last_name': ['Borrett'], 'designation': 'Group Company Secretary, General Counsel'}, 9: {'first_name': ['Kevin'], 'middle_name': [], 'last_name': ['Goodman'], 'designation': 'Group Director of Organization and Development'}, 10: {'first_name': ['Kate'], 'middle_name': [], 'last_name': ['Hill'], 'designation': 'Group Director of Communications'}, 11: {'first_name': ['John'], 'middle_name': ['S.'], 'last_name': ['Howie'], 'designation': 'Chief Corporate Affairs Officer'}, 12: {'first_name': ['Victoire'], 'middle_name': ['de'], 'last_name': ['Margerie'], 'designation': 'Non-Executive Independent Director'}, 13: {'first_name': ['Lucy'], 'middle_name': [], 'last_name': ['Dimes'], 'designation': 'Non-Executive Independent Director'}, 14: {'first_name': ['Carl-Peter'], 'middle_name': ['Edmund', 'Moriz'], 'last_name': ['Forster'], 'designation': 'Non-Executive Independent Director'}, 15: {'first_name': ['Russ'], 'middle_name': [], 'last_name': ['Houlden'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Myles'], 'middle_name': ['P.'], 'last_name': ['Lee'], 'designation': 'Non-Executive Independent Director'}, 17: {'first_name': ['Andrew'], 'middle_name': [], 'last_name': ['Parker'], 'designation': 'Non-Executive Independent Director'}, 18: {'first_name': ['Kjersti'], 'middle_name': [], 'last_name': ['Wiklund'], 'designation': 'Non-Executive Independent Director'}}"
76,COCA-COLA EUROPEAN PARTNERS PLC,Coca-Cola Europacific Partners plc,,,,,,,,,,
77,SIEMENS PUBLIC LIMITED COMPANY,Siemens AG,,,,,,,,,,
78,SERCO GROUP PLC,Serco Group plc,"['Serco House', 'Bartley Way,16 Bartley Wood Business Prk', 'RG27 9UY', 'United Kingdom']",['+44.1256.745900'],https://www.serco.com/,"['3,884.80']",['179.20'],133.80,"['133.80', '50.40', '67.40']","2,410.30",383.50,"{0: {'first_name': ['John'], 'middle_name': ['F.'], 'last_name': ['Rishton'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Rupert'], 'middle_name': ['Christopher'], 'last_name': ['Soames'], 'designation': 'Group Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Nigel'], 'middle_name': [], 'last_name': ['Crossley'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Eveleigh'], 'designation': 'Group General Counsel, Company Secretary'}, 4: {'first_name': ['Kirsty'], 'middle_name': [], 'last_name': ['Bashforth'], 'designation': 'Non-Executive Independent Director'}, 5: {'first_name': ['Eric'], 'middle_name': [], 'last_name': ['Born'], 'designation': 'Non-Executive Independent Director'}, 6: {'first_name': ['Ian'], 'middle_name': [], 'last_name': ['El-Mokadem'], 'designation': 'Non-Executive Independent Director'}, 7: {'first_name': ['Tim'], 'middle_name': [], 'last_name': ['Lodge'], 'designation': 'Non-Executive Independent Director'}, 8: {'first_name': ['Lynne'], 'middle_name': ['M.'], 'last_name': ['Peacock'], 'designation': 'Senior Non-Executive Independent Director'}, 9: {'first_name': ['Dame'], 'middle_name': ['Sue'], 'last_name': ['Owen'], 'designation': 'Non-Executive Independent Director'}}"
79,UNITED UTILITIES WATER LIMITED,United Utilities Group plc,"['Haweswater HSE, Lingley Green Avenue', 'WA5 3LP', 'United Kingdom']",['+44.1925.237000'],http://www.unitedutilities.com,"['1,808.00']",['638.80'],453.40,"['453.40', '106.80', '363.40']","14,179.10","2,528.30","{0: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Higgins'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Steven'], 'middle_name': ['Lewis'], 'last_name': ['Mogford'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Phil'], 'middle_name': [], 'last_name': ['Aspin'], 'designation': 'Chief Financial Officer'}, 3: {'first_name': ['Simon'], 'middle_name': ['Roger'], 'last_name': ['Gardiner'], 'designation': 'Company Secretary'}, 4: {'first_name': ['Kath'], 'middle_name': [], 'last_name': ['Cates'], 'designation': 'Non-Executive Director'}, 5: {'first_name': ['Stephen'], 'middle_name': ['A.'], 'last_name': ['Carter'], 'designation': 'Non-Executive Independent Director'}, 6: {'first_name': ['Mark'], 'middle_name': ['S.'], 'last_name': ['Clare'], 'designation': 'Senior Non-Executive Independent Director'}, 7: {'first_name': ['Alison'], 'middle_name': ['J.P.'], 'last_name': ['Goligher'], 'designation': 'Non-Executive Independent Director'}, 8: {'first_name': ['Brian'], 'middle_name': ['Michael'], 'last_name': ['May'], 'designation': 'Non-Executive Independent Director'}, 9: {'first_name': ['Paulette'], 'middle_name': [], 'last_name': ['Rowe'], 'designation': 'Non-Executive Independent Director'}, 10: {'first_name': ['Douglas'], 'middle_name': ['Russell'], 'last_name': ['Webb'], 'designation': 'Non-Executive Independent Director'}, 11: {'first_name': ['Sara'], 'middle_name': ['V.'], 'last_name': ['Weller'], 'designation': 'Non-Executive Independent Director'}}"
80,RELX GROUP PLC,RELX,"['Grand Buildings, 1-3 Strand', 'WC2N 5JR', 'United Kingdom']",['+44.20.71665500'],https://www.relx.com/,"['7,110.00']","['1,655.00']","1,224.00","['1,224.00', '1,505.00', '1,422.00']","14,145.00","1,214.00","{0: {'first_name': ['Paul'], 'middle_name': [], 'last_name': ['Walker'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Erik'], 'middle_name': [], 'last_name': ['Engstrom'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Nicholas'], 'middle_name': ['Lawrence'], 'last_name': ['Luff'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Kumsal'], 'middle_name': ['Bayazit'], 'last_name': ['Besson'], 'designation': 'Chief Executive Officer - Scientific, Technical & Medical and Chairwoman, RELX Technology Forum'}, 4: {'first_name': ['Youngsuk'], 'middle_name': [], 'last_name': ['Chi'], 'designation': 'Director - Corporate Affairs and Chairman Elsevier'}, 5: {'first_name': ['Hugh'], 'middle_name': ['M.'], 'last_name': ['Jones'], 'designation': 'Chief Executive Officer - Exhibitions'}, 6: {'first_name': ['Mark'], 'middle_name': [], 'last_name': ['Kelsey'], 'designation': 'Chief Executive Officer - Risk'}, 7: {'first_name': ['Mike'], 'middle_name': [], 'last_name': ['Walsh'], 'designation': 'Chief Executive Officer Legal'}, 8: {'first_name': ['Vijay'], 'middle_name': [], 'last_name': ['Raghavan'], 'designation': 'Director, RELX Technology Forum and Chief Technology Officer, Risk'}, 9: {'first_name': ['Jelena'], 'middle_name': [], 'last_name': ['Sevo'], 'designation': 'Chief Strategy Officer'}, 10: {'first_name': ['Henry'], 'middle_name': ['Adam'], 'last_name': ['Udow'], 'designation': 'Chief Legal Officer and Company Secretary'}, 11: {'first_name': ['June'], 'middle_name': ['Yee'], 'last_name': ['Felix'], 'designation': 'Non-Executive Independent Director'}, 12: {'first_name': ['Wolfhart'], 'middle_name': ['G.'], 'last_name': ['Hauser'], 'designation': 'Senior Independent Non-Executive Director'}, 13: {'first_name': ['Charlotte'], 'middle_name': [], 'last_name': ['Hogg'], 'designation': 'Non-Executive Independent Director'}, 14: {'first_name': ['Robert'], 'middle_name': [], 'last_name': ['Macleod'], 'designation': 'Non-Executive Independent Director'}, 15: {'first_name': ['Linda'], 'middle_name': ['S.'], 'last_name': ['Sanford'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Andrew'], 'middle_name': [], 'last_name': ['Sukawaty'], 'designation': 'Non-Executive Independent Director'}, 17: {'first_name': ['Marike'], 'middle_name': ['E.', 'van', 'Lier'], 'last_name': ['Lels'], 'designation': 'Non-Executive Independent Director'}, 18: {'first_name': ['Suzanne'], 'middle_name': ['H.'], 'last_name': ['Wood'], 'designation': 'Non-Executive Independent Director'}}"
81,QINETIQ LIMITED,QinetiQ Group plc,"['Cody Technology Park, Old Ively Road', 'GU14 0LX', 'United Kingdom']",['+44.1252.392000'],https://www.qinetiq.com,"['1,278.20']",['119.40'],124.50,"['124.50', '106.30', '113.90']","1,486.60",739.40,"{0: {'first_name': ['Neil'], 'middle_name': ['Anthony'], 'last_name': ['Johnson'], 'designation': 'Non-Executive Independent Chairman of the Board'}, 1: {'first_name': ['Steve'], 'middle_name': [], 'last_name': ['Wadey'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Michael'], 'middle_name': [], 'last_name': ['Harper'], 'designation': 'Deputy Chairman and Senior Independent Non-Executive Director'}, 3: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Smith'], 'designation': 'Chief Financial Officer, Executive Director'}, 4: {'first_name': ['Jon'], 'middle_name': [], 'last_name': ['Messent'], 'designation': 'Group General Counsel, Company Secretary'}, 5: {'first_name': ['Lynn'], 'middle_name': [], 'last_name': ['Brubaker'], 'designation': 'Non-Executive Independent Director'}, 6: {'first_name': ['Shonaid'], 'middle_name': [], 'last_name': ['Emmett-Page'], 'designation': 'Non-Executive Independent Director'}, 7: {'first_name': ['Gordon'], 'middle_name': [], 'last_name': ['Messenger'], 'designation': 'Non-Executive Independent Director'}, 8: {'first_name': ['Susan'], 'middle_name': ['Jane'], 'last_name': ['Searle'], 'designation': 'Non-Executive Independent Director'}}"
